;;;;;;Series;Repackaged / Renumbered / Relaunched Sets 2014;;;;;;;;;;;;;;;;;;;;;;;;;;New Sets 2014 and early 2015;;;;;;;;;;;;;;;;;;;;;;New Brand Image, from mid 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;New Sets 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;Set Number;6024196;6024655;6023644;6023647;6023896;6023648;6023897;6024139;6024683;6024748;6024749;6023566;6024603;6023638;6023890;6023639;6023684;6023686;6023688;6023892;6024526;6024598;6024853;6024855;6024464;6024133;6023958;6023590;6023640;6023682;6024820;6024594;6024785;6024788;6024790;6024794;6024796;6024798;6024802;6024805;6024807;6024809;6024811;6024822.1;6024822.2;6024822.3;6024822.4;6024828;14302;14303;14309;15101;15102;15103;15104;15105;15106;15107;15201a;15201b;15201c;15201d;15201e;15202;15203;15204;15205;15206;15207;15301;15302;15303;15304;15305;15306;15308;15309;15310;15401;15402;15403;16102;16103;16104;16105;16107;16108;16201;16202;16203;16204;16205;16207;16208;16209;16210;16211;16212;16214;16215;16301;16303;16304;16305(1);16305(2);16307;16308;16309;16310;16401;16402;16403;16404;16405
;;;;;;Set Name;3 Mod.;5 Mod.;10 Mod.;15 Mod.;15 Mod.;20 Mod.;20 Mod.;25 Mod.;35 Mod.;40 Mod.;50 Mod.;50 Mod.;Radio;Mini;Mini;Motor;4 x 4;Tow;Crane;Excavator;Eiffel;Empire;Big Ben;Capitol;100th;Super;25 Mod.;RC Rally;Excavator;Quad;RC Race;Pirate;Jun. Front;Junior;Junior;Jun. Easy;J. Advan.;J. 100 Pc;J. 150 Pc;Rescue Fi;Construc.;Flight;Off Road;Starter;Starter;Starter;Starter;Tower;Racer;Autocross;Pirate;Jun. Easy;J. Advan.;J. 100 Pc;J. 150 Pc;Jun. Front;Junior;Junior;Starter;Starter;Starter;Starter;Starter;Rescue;Construc.;Flight;Space;Desert;Mountain;Canyon ;Tactical;Race;Tower;Eiffel;Empire;Tower;Thunder;Outdoor;Mecanoid;Mecanoid;Expans.;J. Mighty;J. Truck.;J. Pull Bk.;Insect;Police;Rescue;Starter;Starter;Starter;St. Pocket;Insects;Serengeti;Race Cars;Dinosaurs;Off-Road;Aerial;4X4 Off-;Super;4X4 Off-;Excavator;Roadster;Meccasaur;Ducati;Boeing;Lamborg.;Lamborg.;Ferrari;LaFerrari;Micronoid;Meccanoid;Meccanoid;Micronoid;Micronoid
;;;;;;;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Set;Cont. Pro;Loader;Loader;cycle;;Truck;Truck;;Tower;State Bld.;;Hill;Anniv. St;Construc.;Set;Car;;(green);Car;Ship;Loader;Airplane;Race Car;Toolbox;Toolbox;Bucket;Bucket;re Truck;Loader;Jet;;Hot Rod;Tractor;Dirt Bike;Drone;Bridge;Quad;RC;Ship;Toolbox;Toolbox;Bucket;Bucket;Loader;Airplane;Race Car;Race Car;Mtrcycle;Drone;ATV;Chopper;Squad;Crew;Advent.;Quest;Advent.;Rally;Crawler;Copter;Car;Bridge;Tower;State Bld.;Crane;bird 2;Advent.;G15;G15KS;Pack;Cycles;Tractor;Race Car;Mania;Station;Fire Truck;Scooter;Jet;Helicopt.;Bike;;Safari;;;Rally;Rescue;Road Trk;Const. Set;Road Trk;;RC;;Monster;Dreamlnr;Aventador;Huracan;488 Spider;;Socket;2.0;XL 2.0;Basher;Switch
2;;A202;wt;sp;"Perforated Strips, 5 ½""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;A202;yl;sp;"Perforated Strips, 5 1/2""";;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;a;A302;;zn;"Perforated Strips, 4 1/2""";;2;;1;5;5;1;1;;4;3;3;6;1;;;;;;;;12;12;;1;;;9;;;;;;;;;;;;;;;2;;;;;;4;;;;;;;;;;;;;;;;;;2;;2;;;;;4;4;;6;4;3;;;;;;;;;;;;;;;;;;;;;;;;;1;;;2;;;;;;;;
2;a;A302;bl;sp;"Perforated Strips, 4 1/2""";;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;a;A302;rd;sp;"Perforated Strips, 4 1/2""";;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;a;A302;yl;sp;"Perforated Strips, 4 1/2""";;;;2;;;;;;;;;;;;;;;;;2;;;;;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;A203;;zn;"Perforated Strips, 3 1/2""";;2;;4;;;2;2;4;2;2;2;2;;;;;;;1;;2;4;8;;;;6;2;;;;;;;;;;;;;2;;;;;;;8;;;;;;;;;;;;;;;;;2;;2;;;;;;8;;6;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;;;;;;;;
3;;A203;bk;sp;"Perforated Strips, 3 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;A203;bkf;sp;"Perforated Strips, 3 1/2""";;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;A203;bnd;sp;"Perforated Strips, 3 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;A203;cm;sp;"Perforated Strips, 3 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;A203;rd;sp;"Perforated Strips, 3 1/2""";;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;A203;yl;sp;"Perforated Strips, 3 1/2""";;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;A304;;zn;"Perforated Strips, 3""";;;;4;;;;;;;;;2;;;;;;;;;;12;;;10;10;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;4;8;2;2;;;;;;;;;;;;;;;;;;;;;10;;;;;;;2;;;;;;;;
4;;A304;bk;sp;"Perforated Strips, 3""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;A304;yl;sp;"Perforated Strips, 3""";;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;A105;;zn;"Perforated Strips, 2 1/2""";;1;;2;2;2;1;1;3;2;2;3;2;;;;;;1;4;;8;;28;2;3;3;4;;;2;;3;;;;;;;;;;;;;;;;;2;;3;;;;;;;;;;;;;;;;;;1;;1;1;;4;6;4;;2;;;;;;;;;;;;;;;3;;;1;;;3;;;;2;1;;;;;;;;;;
5;;A105;bl;sp;"Perforated Strips, 2 1/2""";;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;A105;cm;sp;"Perforated Strips, 2 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;A105;yl;sp;"Perforated Strips, 2 1/2""";;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;B146;;zn;"Perforated Strips, 2""";;;;;1;1;1;1;;;;;;;;;;;;;;;2;4;;2;2;;3;;;;4;;;;;;;;;;;;;1;;;8;;;4;;;;;;;;;;;;;;;;;;;;;;8;;;1;4;;;;;;;;;;;;;;;;;;;;;;2;;;;2;;;;;;;;;;;
6;;B146;bk;sp;"Perforated Strips, 2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;B146;bkf;sp;"Perforated Strips, 2""";;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;B146;bn;sp;"Perforated Strips, 2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;a;A506;;zn;"Perforated Strips, 1 1/2""";;;;;;;;;2;;;;3;;;;;;;;;2;;8;3;13;13;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;8;4;1;2;;;;;;;;;;;;;;;;;;;;;;13;;;;2;;;;;;;;;;;
6;a;A506;rd;sp;"Perforated Strips, 1 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;
8;b;A509;yl;sp;"Angle Girder, 7 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;A507;;zn;"Angle Girder, 5 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;a;A209;;zn;"Angle Girder, 4 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;b;A601;;zn;"Angle Girder, 3 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;c;A604;;zn;"Angle Girder, 3""";;;;;;;;;;;;;;;;;;;;;;;6;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;c;A604;yl;sp;"Angle Girder, 3""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;d;A602;;zn;"Angle Girder, 2 1/2""";;;;;;;;;;;;2;;2;;;;;;;;;4;;4;;;2;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;e;A603;;zn;"Angle Girder, 2""";;;;;;;;;;;;;;;;;;;;;;;4;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;f;A109;;zn;"Angle Girder, 1 1/2""";;;;;;;;;;;;;;;;;;;;2;;;;;2;2;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
9;f;A109;yl;sp;"Angle Girder, 1 1/2""";;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;l;A309;;zn;"Angle Girder, 1""";;;;;;;;;;;;;;;;;;;;4;;;4;4;;;;;;;;;;;;;;;;;;1;;4;;;;;;;;;;;;;;;;;;;;;;1;;;;;4;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
9;l;A309;bk;sp;"Angle Girder, 1""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;l;A309;rd;sp;"Angle Girder, 1""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;A010;;zn;Fishplate;;;;;;;;;;;;;;;;;16;;;;;;;;4;;;;2;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;1;;;2;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;
10;;A010;rd;sp;Fishplate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;
11;;A720;;zn;"Double Bracket, 1/2"" x 1/2""";;;1;;;;4;4;;1;1;1;;;;;;;;1;;1;;;2;;;;;;;;;;;;;;;;3;;;;;;;1;;;;;;;;;;;;;;1;1;;3;;;;2;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;4;;;1;;;;;;;;;;;;;;
11;a;A721;;zn;"Double Bracket, 1"" x 1/2""";;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;
12;;A012;;zn;"Angle Bracket, 1/2"" x 1/2""";;1;;10;2;2;8;8;10;4;4;4;8;4;1;1;;1;7;2;4;4;48;56;33;2;2;21;10;4;;6;19;;;;;;;;;5;;;;1;;;2;;6;19;;;;;;;;;;;;;;5;;;2;1;;4;8;2;;88;12;;3;;;;;;;;;;;;;;;;;;;1;;2;;;;18;;2;;;;;;;;;
12;a;A612;;zn;"Angle Bracket, 1"" x 1""";;;;;;;;;;;;;;;;;;;;;;;20;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;5;;;;;;2;;;;;
12;a;A612;grl;sp;"Angle Bracket, 1"" x 1""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
12;a;A612;or;sp;"Angle Bracket, 1"" x 1""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;
12;a;A612;rd;sp;"Angle Bracket, 1"" x 1""";;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;b;A512;;zn;"Angle Bracket, 1"" x 1/2""";;;;1;;;;;;2;2;2;4;;1;1;;;;3;1;4;4;;2;;;1;4;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;4;;;;2;;;;;4;2;;;;;;;;;;;;;;;;;;1;1;;;;1;;;;;;;;;2;;;;
12;c;A712;;zn;"Obtuse Angle Bracket 1/2"" x 1/2""";;;1;6;6;6;;;8;11;5;5;16;10;;;1;;;;2;20;;8;;1;1;8;14;2;;4;8;;;;;;;;;;9;1;;;1;;2;;4;8;;;;;;;;;1;;;;;;9;;;;1;9;2;2;12;2;26;4;2;;;;;;;;;;;;;;;;2;;2;8;2;1;4;;2;;1;;4;2;2;8;6;;;;
12;c;A712;yl;sp;"Obtuse Angle Bracket 1/2"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;d;A713;;zn;"Obtuse Angle Bracket 1"" x 1/2""";;2;;;4;4;2;2;3;;;;;;;;;;;;;;;;8;1;1;;2;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;1;2;1;;;;;;;2;;1;;;16;;;;4;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;
12;d;A713;grl;sp;"Obtuse Angle Bracket 1"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
12;d;A713;or;sp;"Obtuse Angle Bracket 1"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;
12;d;A713;rd;sp;"Obtuse Angle Bracket 1"" x 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;
14;;A014;;zn;Axle Rod, 165 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;a;A715;;zn;"Axle Rod, 4 1/2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
15;b;A815;;zn;Axle Rod, 100 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;A116;;zn;Axle Rod, 90 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;a;A117;;zn;Axle Rod, 63 mm;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;1;;1;;;;;;;;2;;;;;;;;;1;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;1;;;;;;;;;;;;;;
