al;aluminium
bkq;chemically blackened
bm;matt brassed
br;brass / brass plated
cb;cardboard
cp;copper
cr;chrome plated
crd;cardboard
dc;die cast
fas;stretch fabric
ir;iridescent
nd;non descript
ni;nickel plated
pl;plastic
rb;rubber
sb;sintered brass
sm;steel memory (spring)
sp;painted steel
st;steel
wd;wood
zn;zinc / zinc plated
